0x27d	0x00000000
0x2cd	0x6fdde03
0x35d	0x95ea7b3
0x3d0	0x1249c58b
0x3da	0x173b9904
0x405	0x17bfdfbc
0x46a	0x18160ddd
0x495	0x182df0f5
0x4c0	0x23b872dd
0x553	0x26782247
0x5aa	0x313ce567
0x5db	0x3af9e669
0x640	0x3b1d21a2
0x66b	0x4576b5db
0x6d0	0x47bd3718
0x6fb	0x4e4d9fea
0x705	0x5fe3b567
0x75c	0x601a0bf1
0x7ab	0x6c540baf
0x7d6	0x70a08231
0x83b	0x73acee98
0x866	0x852a12e3
0x8b5	0x893d20e8
0x90c	0x8f840ddd
0x937	0x95d89b41
0x9c7	0x95dd9193
0xa2c	0x99d8c1b4
0xbe2	0xa6afed95
0xc0d	0xa9059cbb
0xc80	0xaa5af0fd
0xcab	0xaae40a2a
0xd0f	0xae9d70b0
0xd3a	0xb2a02ff1
0xdc9	0xb71d1a0c
0xe2e	0xbd6d894d
0xe59	0xc37f68e2
0xed3	0xc5ebeaec
0xf22	0xdb006a75
0xf71	0xdd62ed3e
0xff6	0xe5974619
0x103a	0xe9c714f2
0x1065	0xf2b3abbd
0x10ca	0xf3fdb15a
0x1121	0xf851a440
0x1178	0xf8f9da28
0x11a3	0xfca7820b
0x11f2	0xfe9c44ae
