0x1a	0x14f
0x25	0xc1
0x30	0x7a
0xc9	0x113
0x157	0x1f3
0x162	0x1ac
0x1fb	0x245
0x2d1	0x2d9
0x30c	0x322
0x31e	0x307
0x332	0x34f
0x361	0x369
0x36b	0x3b6
0x378	0x380
0x3b2	0x16b8
0x3de	0x3e6
0x3e8	0x3ef
0x3eb	0x17ff
0x409	0x411
0x413	0x454
0x420	0x428
0x450	0x1805
0x46e	0x476
0x478	0x47f
0x47b	0x1954
0x499	0x4a1
0x4c4	0x4cc
0x4ce	0x539
0x4db	0x4e3
0x535	0x1969
0x557	0x55f
0x561	0x568
0x564	0x1a43
0x5ae	0x5b6
0x5b8	0x5bf
0x5bb	0x1a69
0x5df	0x5e7
0x5e9	0x62a0x5db
0x5f6	0x5fe
0x626	0x1a7c
0x644	0x64c
0x66f	0x677
0x679	0x6ba
0x686	0x68e
0x6b6	0x1afe0x66b
0x6d4	0x6dc
0x6de	0x6e5
0x6e1	0x1d6f
0x709	0x711
0x713	0x71a
0x716	0x1dc5
0x760	0x768
0x76a	0x795
0x777	0x77f
0x791	0x1deb
0x7af	0x7b7
0x7b9	0x7c0
0x7bc	0x1ef1
0x7da	0x7e2
0x7e4	0x825
0x7f1	0x7f9
0x821	0x1ef7
0x83f	0x847
0x86a	0x872
0x874	0x89f0x866
0x881	0x889
0x89b	0x2087
0x8b9	0x8c1
0x8c3	0x8ca
0x8c6	0x2099
0x910	0x918
0x91a	0x921
0x91d	0x20c3
0x93b	0x943
0x976	0x98c
0x988	0x971
0x99c	0x9b9
0x9cb	0x9d3
0x9d5	0xa16
0x9e2	0x9ea
0xa12	0x21670x9c7
0xa30	0xa38
0xa3a	0xbe0
0xa47	0xa4f
0xaae	0xab6
0xac0	0xac8
0xae2	0xaea
0xb45	0xb4d
0xb57	0xb5f
0xb79	0xb81
0xbdc	0x2179
0xbe6	0xbee
0xc11	0xc19
0xc1b	0xc66
0xc28	0xc30
0xc62	0x2706
0xc84	0xc8c
0xc8e	0xc95
0xc91	0x27df
0xcac	0xd0d0xcab
0xcb9	0xcc1
0xd09	0x27e5
0xd13	0xd1b
0xd1d	0xd24
0xd20	0x2839
0xd3e	0xd46
0xd48	0xdb3
0xd55	0xd5d
0xdaf	0x2913
0xdcd	0xdd5
0xdd7	0xe18
0xde4	0xdec
0xe14	0x29df
0xe32	0xe3a
0xe5d	0xe65
0xe67	0xea8
0xe74	0xe7c
0xea4	0x2caa
0xed7	0xedf
0xee1	0xf0c0xed3
0xeee	0xef6
0xf08	0x2d2f
0xf26	0xf2e
0xf30	0xf5b0xf22
0xf3d	0xf45
0xf57	0x2d41
0xf75	0xf7d
0xf7f	0xfe0
0xf8c	0xf94
0xfdc	0x2d53
0xff7	0x10380xff6
0x1004	0x100c
0x1034	0x2dda
0x103e	0x1046
0x1069	0x1071
0x1073	0x10b4
0x1080	0x1088
0x10b0	0x3149
0x10ce	0x10d6
0x10d8	0x10df
0x10db	0x3199
0x1125	0x112d
0x112f	0x1136
0x1132	0x31bf
0x117c	0x1184
0x1186	0x118d
0x1189	0x31e5
0x11a7	0x11af
0x11b1	0x11dc
0x11be	0x11c6
0x11d8	0x32b5
0x11f6	0x11fe
0x1200	0x1207
0x1203	0x33bb
0x1234	0x12a5
0x12d3	0x12d8
0x12db	0x1303
0x12df	0x12f4
0x12e8	0x12ed
0x12f0	0x33c00x1221
0x12ff	0x13130x1221
0x133a	0x133f
0x1343	0x134b
0x1347	0x1616
0x136c	0x1384
0x1393	0x13f5
0x139d	0x13a2
0x13b4	0x13b9
0x13f1	0x138d
0x1404	0x1409
0x1447	0x144c
0x1480	0x1485
0x1496	0x149b
0x14cf	0x14d4
0x14e5	0x14ea
0x1528	0x152d
0x1564	0x1569
0x156e	0x1612
0x15c1	0x15d7
0x15d3	0x15bc
0x15e7	0x1604
0x1666	0x7526
0x166e	0x1685
0x1681	0x754d
0x16a3	0x1693
0x1817	0x1888
0x18aa	0x18af
0x18b9	0x192a
0x197b	0x19ec
0x1a0e	0x1a13
0x1dfd	0x1e6e
0x1e9c	0x1ea1
0x1ea4	0x1ec5
0x1ea8	0x1ebd
0x1eb1	0x1eb6
